city,pct,numteams,champ,tooltip,ff,year
Cincinnati,0.435,2,0,"['Cincinnati Royals 0.253', 'Cincinnati Reds 0.435']",0,1960
Boston,0.457,4,1,"['Boston Celtics 0.787 Champions', 'Boston Patriots 0.333', 'Boston Red Sox 0.422', 'Boston Bruins 0.457']",1,1960
Philadelphia,0.383,3,1,"['Philadelphia Warriors 0.653', 'Philadelphia Eagles 0.8 Champions', 'Philadelphia Phillies 0.383']",1,1960
Detroit,0.479,4,0,"['Detroit Pistons 0.4', 'Detroit Lions 0.636', 'Detroit Tigers 0.461', 'Detroit Red Wings 0.479 Conf./League Finalist']",0,1960
New York 1,0.35,4,0,"['New York Knicks 0.36', 'New York Giants 0.556', 'New York Yankees 0.63 Conf./League Finalist', 'New York Rangers 0.35']",0,1960
Minneapolis,0.474,2,0,"['Minneapolis Lakers 0.333', 'Minnesota Twins 0.474']",0,1960
St Louis,0.558,3,0,"['St. Louis Hawks 0.613 Conf./League Finalist', 'St. Louis Cardinals 0.444', 'St. Louis Cardinals 0.558']",0,1960
Syracuse,0.6,1,0,['Syracuse Nationals 0.6'],0,1960
Wisconsin,0.571,2,0,"['Green Bay Packers 0.636 Conf./League Finalist', 'Milwaukee Braves 0.571']",0,1960
Dallas,0.0,2,0,"['Dallas Texans 0.667', 'Dallas Cowboys 0.0']",0,1960
Pittsburgh,0.617,2,1,"['Pittsburgh Steelers 0.444', 'Pittsburgh Pirates 0.617 Champions']",1,1960
Chicago,0.493,4,0,"['Chicago Bears 0.5', 'Chicago White Sox 0.565', 'Chicago Cubs 0.565', 'Chicago Black Hawks 0.493 Conf./League Finalist']",0,1960
Washington DC,0.0,1,0,['Washington Redskins 0.0'],0,1960
New York 2,0.63,2,0,"['New York Titans 0.333', 'New York Mets 0.63']",0,1960
Denver,0.167,1,0,['Denver Broncos 0.167'],0,1960
Los Angeles 1,0.4,1,0,['Los Angeles Rams 0.4'],0,1960
Los Angeles 2,0.833,1,0,['Los Angeles Chargers 0.833 Conf./League Finalist'],0,1960
Cleveland,0.494,2,0,"['Cleveland Browns 0.667', 'Cleveland Indians 0.494']",0,1960
San Francisco,0.513,2,0,"['San Francisco 49ers 0.636', 'San Francisco Giants 0.513']",0,1960
Oakland,0.333,1,0,['Oakland Raiders 0.333'],0,1960
Buffalo,0.5,1,0,['Buffalo Bills 0.5'],0,1960
Baltimore,0.578,2,0,"['Baltimore Colts 0.455', 'Baltimore Orioles 0.578']",0,1960
Houston,0.833,1,0,['Houston Oilers 0.833'],0,1960
Kansas City,0.377,1,0,['Kansas City Athletics 0.377'],0,1960
Toronto,0.564,1,0,['Toronto Maple Leafs 0.564 Conf./League Finalist'],0,1960
Montreal,0.657,1,1,['Montreal Canadiens 0.657 Champions'],1,1960
Cincinnati,0.574,2,0,"['Cincinnati Royals 0.418', 'Cincinnati Reds 0.574 Conf./League Finalist']",0,1961
Boston,0.307,4,1,"['Boston Celtics 0.722 Champions', 'Boston Patriots 0.4', 'Boston Red Sox 0.469', 'Boston Bruins 0.307']",1,1961
Philadelphia,0.29,3,0,"['Philadelphia Warriors 0.582', 'Philadelphia Eagles 0.667', 'Philadelphia Phillies 0.29']",0,1961
Detroit,0.471,4,0,"['Detroit Pistons 0.43', 'Detroit Lions 0.636', 'Detroit Tigers 0.623', 'Detroit Red Wings 0.471 Conf./League Finalist']",0,1961
New York 1,0.386,4,1,"['New York Knicks 0.266', 'New York Giants 0.818 Conf./League Finalist', 'New York Yankees 0.673 Champions', 'New York Rangers 0.386']",1,1961
Los Angeles 1,0.432,3,0,"['Los Angeles Lakers 0.456', 'Los Angeles Rams 0.25', 'Los Angeles Dodgers 0.432']",0,1961
St Louis,0.494,3,0,"['St. Louis Hawks 0.646 Conf./League Finalist', 'St. Louis Cardinals 0.583', 'St. Louis Cardinals 0.494']",0,1961
Syracuse,0.481,1,0,['Syracuse Nationals 0.481'],0,1961
Wisconsin,0.512,2,1,"['Green Bay Packers 0.75 Champions', 'Milwaukee Braves 0.512']",1,1961
Chicago,0.536,4,1,"['Chicago Bears 0.583', 'Chicago White Sox 0.531', 'Chicago Cubs 0.531', 'Chicago Black Hawks 0.536 Champions']",1,1961
Pittsburgh,0.463,2,0,"['Pittsburgh Steelers 0.417', 'Pittsburgh Pirates 0.463']",0,1961
San Diego,1.0,1,0,['San Diego Chargers 1.0 Conf./League Finalist'],0,1961
Washington DC,0.377,2,0,"['Washington Redskins 0.091', 'Washington Senators 0.377']",0,1961
Minneapolis,0.432,2,0,"['Minnesota Vikings 0.25', 'Minnesota Twins 0.432']",0,1961
Dallas,0.182,2,0,"['Dallas Texans 0.667', 'Dallas Cowboys 0.182']",0,1961
New York 2,0.673,2,0,"['New York Titans 0.5', 'New York Mets 0.673']",0,1961
Denver,0.167,1,0,['Denver Broncos 0.167'],0,1961
Cleveland,0.481,2,0,"['Cleveland Browns 0.727', 'Cleveland Indians 0.481']",0,1961
San Francisco,0.525,2,0,"['San Francisco 49ers 0.545', 'San Francisco Giants 0.525']",0,1961
Oakland,0.167,1,0,['Oakland Raiders 0.167'],0,1961
Buffalo,0.333,1,0,['Buffalo Bills 0.333'],0,1961
Baltimore,0.586,2,0,"['Baltimore Colts 0.5', 'Baltimore Orioles 0.586']",0,1961
Houston,0.8,1,0,['Houston Oilers 0.8'],0,1961
Los Angeles 2,0.432,1,0,['Los Angeles Angels of Anaheim 0.432'],0,1961
Kansas City,0.377,1,0,['Kansas City Athletics 0.377'],0,1961
